PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),ATMS LEVEL-1 (hectopascal),ATPT LEVEL-1 (hectopascal/hour),DEPH LEVEL-1 (meter),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
4402603,2021-01-01T18:00:00Z,45.3270,-56.8420,,,,0,10.6,-10.2,0.47,-0.36,5.09,0.5,312,15,-0.38,-0.263,011199971111171111
4402603,2021-01-01T18:00:00Z,45.3276,-56.8428,1021,0.4,-0.5,,,,,,5.06,0.5,,15,-0.364794,-0.259455,011111799999179711
4402603,2021-01-01T19:00:00Z,45.3190,-56.8620,,,,0,10.6,-10.2,0.46,-0.36,5.1,0.5,312,15,-0.413,-0.278,011199971111171111
4402603,2021-01-01T19:00:00Z,45.3194,-56.8614,1022,1.4,-0.5,,,,,,5.14,0.5,,15,-0.403938,-0.253277,011111799999179711
4402603,2021-01-01T20:00:00Z,45.3100,-56.8820,,,,0,11.2,-9.2,0.46,-0.37,5.08,0.5,312,15,-0.455,-0.293,011199971111171111
4402603,2021-01-01T20:00:00Z,45.3096,-56.8812,1023,2.2,-0.5,,,,,,5.07,0.5,,15,-0.430067,-0.302697,011111799999179711
4402603,2021-01-01T21:00:00Z,45.3000,-56.9030,,,,0,11.2,-9.2,0.45,-0.37,5.16,0.5,312,15,-0.527,-0.281,011199971111171111
4402603,2021-01-01T21:00:00Z,45.2998,-56.9034,1023.8,2.8,-0.5,,,,,,5.1,0.5,,15,-0.482279,-0.302697,011111799999179711
4402603,2021-01-01T22:00:00Z,45.2920,-56.9280,,,,0,11.3,-9.2,0.45,-0.37,5.32,0.5,312,15,-0.521,-0.185,011199971111171111
4402603,2021-01-01T22:00:00Z,45.2916,-56.9296,1024.5,2.5,-0.5,,,,,,5.23,0.5,,15,-0.569267,-0.253277,011111799999179711
4402603,2021-01-01T23:00:00Z,45.2890,-56.9500,,,,0,9.3,-6.9,0.39,-0.31,5.44,0.5,312,15,-0.41,-0.091,011199971111171111
4402603,2021-01-01T23:00:00Z,45.2878,-56.9510,1025.1,2.1,-0.5,,,,,,5.41,0.5,,15,-0.465023,-0.117372,011111799999179711
4402603,2021-01-02T00:00:00Z,45.2850,-56.9660,,,,0,9.3,-6.9,0.38,-0.31,5.38,0.5,312,15,-0.305,-0.077,011199971111171111
4402603,2021-01-02T00:00:00Z,45.2858,-56.9678,1025.7,1.9,-0.5,,,,,,5.47,0.5,,15,-0.365083,-0.061775,011111799999179711
4402603,2021-01-02T01:00:00Z,45.2830,-56.9780,,,,0,9.2,-6.9,0.38,-0.3,5.35,0.5,312,15,-0.186,-0.077,011199971111171111
4402603,2021-01-02T01:00:00Z,45.2834,-56.9788,1024.5,0,-0.5,,,,,,5.29,0.5,,15,-0.239052,-0.07413,011111799999179711
4402603,2021-01-02T02:00:00Z,45.2800,-56.9830,,,,0,7.6,-4.3,0.25,-0.19,5.48,0.5,312,15,-0.058,-0.076,011199971111171111
4402603,2021-01-02T02:00:00Z,45.2812,-56.9846,1024.8,-0.3,-0.5,,,,,,5.42,0.5,,15,-0.126051,-0.067952,011111799999179711
4402603,2021-01-02T03:00:00Z,45.2770,-56.9810,,,,0,7.6,-4.3,0.25,-0.19,5.43,0.5,312,15,0.079,-0.157,011199971111171111
4402603,2021-01-02T03:00:00Z,45.2776,-56.9842,1025.2,-0.5,-0.5,,,,,,5.56,0.5,,15,0.008694,-0.111195,011111799999179711
4402603,2021-01-02T04:00:00Z,45.2710,-56.9780,,,,0,7.6,-4.3,0.25,-0.19,5.39,0.5,312,15,0.13,-0.183,011199971111171111
4402603,2021-01-02T04:00:00Z,45.2712,-56.9782,1025,0.5,-0.5,,,,,,5.31,0.5,,15,0.130415,-0.19768,011111799999179711
4402603,2021-01-02T05:00:00Z,45.2640,-56.9710,,,,0,7.1,-3,0.14,-0.08,5.59,0.5,312,15,0.152,-0.185,011199971111171111
4402603,2021-01-02T05:00:00Z,45.2656,-56.9724,1024.9,0.1,-0.5,,,,,,5.5,0.5,,15,0.126082,-0.17297,011111799999179711
4402603,2021-01-02T06:00:00Z,45.2580,-56.9640,,,,0,7.1,-3,0.14,-0.08,5.73,0.5,312,15,0.185,-0.201,011199971111171111
4402603,2021-01-02T06:00:00Z,45.2590,-56.9638,1024.8,-0.4,-0.5,,,,,,5.7,0.5,,15,0.186969,-0.203857,011111799999179711
4402603,2021-01-02T07:00:00Z,45.2540,-56.9530,,,,0,7.1,-3,0.14,-0.08,5.79,0.5,312,15,0.228,-0.155,011199971111171111
4402603,2021-01-02T07:00:00Z,45.2526,-56.9546,1024.9,-0.1,-0.5,,,,,,5.78,0.5,,15,0.200036,-0.19768,011111799999179711
4402603,2021-01-02T08:00:00Z,45.2500,-56.9430,,,,0,6,-0.9,0.11,-0.04,5.85,0.5,312,15,0.25,-0.076,011199971111171111
4402603,2021-01-02T08:00:00Z,45.2492,-56.9434,1025.4,0.5,-0.5,,,,,,5.83,0.5,,15,0.243543,-0.105017,011111799999179711
4402603,2021-01-02T09:00:00Z,45.2480,-56.9310,,,,0,6,-0.9,0.11,-0.04,5.9,0.5,312,15,0.25,-0.015,011199971111171111
4402603,2021-01-02T09:00:00Z,45.2482,-56.9316,1024.4,-0.4,-0.5,,,,,,5.9,0.5,,15,0.2566,-0.030887,011111799999179711
4402603,2021-01-02T10:00:00Z,45.2480,-56.9190,,,,0,6,-0.9,0.11,-0.04,5.93,0.5,312,15,0.25,0,011199971111171111
4402603,2021-01-02T10:00:00Z,45.2478,-56.9196,1024,-0.9,-0.5,,,,,,5.91,0.5,,15,0.260952,-0.012355,011111799999179711
4402603,2021-01-02T11:00:00Z,45.2490,-56.9100,,,,0,5,0.1,0.07,-0.02,5.97,0.5,312,15,0.207,0.031,011199971111171111
4402603,2021-01-02T11:00:00Z,45.2484,-56.9094,1023.9,-1.5,-0.5,,,,,,5.96,0.5,,15,0.221809,0.018532,011111799999179711
4402603,2021-01-02T12:00:00Z,45.2500,-56.9010,,,,0,5,0.1,0.07,-0.02,6.02,0.5,312,15,0.163,0.062,011199971111171111
4402603,2021-01-02T12:00:00Z,45.2504,-56.9006,1024,-0.4,-0.5,,,,,,6.01,0.5,,15,0.19136,0.061775,011111799999179711
4402603,2021-01-02T13:00:00Z,45.2510,-56.8950,,,,0,5,0.1,0.07,-0.02,6.02,0.5,312,15,0.12,0.046,011199971111171111
4402603,2021-01-02T13:00:00Z,45.2522,-56.8938,1024.2,0.2,-0.5,,,,,,6.04,0.5,,15,0.147864,0.055597,011111799999179711
4402603,2021-01-02T14:00:00Z,45.2520,-56.8900,,,,0,2.7,2.4,0.05,0,6,0.5,312,15,0.065,0.031,011199971111171111
4402603,2021-01-02T14:00:00Z,45.2532,-56.8900,1023.6,-0.3,-0.5,,,,,,6,0.5,,15,0.082628,0.030887,011111799999179711
4402603,2021-01-02T15:00:00Z,45.2540,-56.8890,,,,0,2.7,2.4,0.05,0,6,0.5,312,15,0,0.031,011199971111171111
4402603,2021-01-02T15:00:00Z,45.2536,-56.8882,1022.3,-1.7,-0.5,,,,,,6.02,0.5,,15,0.039139,0.012355,011111799999179711
4402603,2021-01-02T16:00:00Z,45.2550,-56.8900,,,,0,2.7,2.4,0.05,0,6,0.5,312,15,-0.076,0.047,011199971111171111
4402603,2021-01-02T16:00:00Z,45.2548,-56.8902,1021.2,-3,-0.5,,,,,,5.99,0.5,,15,-0.043487,0.037065,011111799999179711
4402603,2021-01-02T17:00:00Z,45.2570,-56.8960,,,,0,2.2,5.5,0.02,0.02,6.04,0.5,312,15,-0.131,0.077,011199971111171111
4402603,2021-01-02T17:00:00Z,45.2566,-56.8952,1019.5,-4.1,-0.5,,,,,,6.03,0.5,,15,-0.108715,0.055597,011111799999179711
4402603,2021-01-02T18:00:00Z,45.2610,-56.9020,,,,0,2.2,5.5,0.02,0.02,6.09,0.5,312,15,-0.163,0.123,011199971111171111
4402603,2021-01-02T18:00:00Z,45.2596,-56.9018,1018.4,-3.9,-0.5,,,,,,6.08,0.5,,15,-0.143498,0.092662,011111799999179711
4402603,2021-01-02T19:00:00Z,45.2650,-56.9100,,,,0,2.1,5.4,0.02,0.02,6.07,0.5,312,15,-0.174,0.208,011199971111171111
4402603,2021-01-02T19:00:00Z,45.2650,-56.9102,1017.3,-3.9,-0.5,,,,,,6.12,0.5,,15,-0.18262,0.166792,011111799999179711
4402603,2021-01-02T20:00:00Z,45.2750,-56.9160,,,,0,-3.3,7,0,0.05,5.98,0.5,312,15,-0.097,0.34,011199971111171111
4402603,2021-01-02T20:00:00Z,45.2738,-56.9178,1017.1,-2.4,-0.5,,,,,,6.03,0.5,,15,-0.165207,0.27181,011111799999179711
4402603,2021-01-02T21:00:00Z,45.2860,-56.9170,,,,0,-3.2,7,0,0.05,5.46,0.5,312,15,0.039,0.419,011199971111171111
4402603,2021-01-02T21:00:00Z,45.2866,-56.9190,1015.3,-3.1,-0.5,,,,,,5.93,0.5,,15,-0.02608,0.39536,011111799999179711
4402603,2021-01-02T22:00:00Z,45.2990,-56.9140,,,,0,-3.2,7,0,0.05,5.01,0.5,312,15,0.119,0.402,011199971111171111
4402603,2021-01-02T22:00:00Z,45.3008,-56.9150,1013.4,-3.9,-0.5,,,,,,4.98,0.5,,15,0.086914,0.438602,011111799999179711
4402603,2021-01-02T23:00:00Z,45.3120,-56.9080,,,,0,5.1,-7.5,-0.11,0.12,5.15,0.5,312,15,0.163,0.31,011199971111171111
4402603,2021-01-02T23:00:00Z,45.3126,-56.9076,1011.6,-5.5,-0.5,,,,,,5.06,0.5,,15,0.160754,0.364472,011111799999179711
4402603,2021-01-03T00:00:00Z,45.3200,-56.9010,,,,0,-12.9,5.6,-0.11,0.12,5.44,0.5,312,15,0.151,0.183,011199971111171111
4402603,2021-01-03T00:00:00Z,45.3208,-56.8996,1009,-6.3,-0.5,,,,,,5.27,0.5,,15,0.173758,0.253277,011111799999179711
