PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DRYT LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
4403528,2021-10-26T05:00:00Z,45.3218,-58.5170,12.1,-32.6,0,0111147
4403528,2021-10-26T06:00:00Z,45.3028,-58.5130,12.1,-32.6,0,0111147
4403528,2021-10-26T07:00:00Z,45.2849,-58.5200,12.1,-32.6,0,0111147
4403528,2021-10-26T08:00:00Z,45.2693,-58.5342,12.1,-32.6,0,0111147
4403528,2021-10-26T09:00:00Z,45.2590,-58.5526,12.1,-32.6,0,0111147
4403528,2021-10-26T10:00:00Z,45.2542,-58.5713,12.1,-32.6,0,0111147
4403528,2021-10-26T11:00:00Z,45.2525,-58.5884,12.1,-32.6,0,0111147
4403528,2021-10-26T12:00:00Z,45.2546,-58.6040,12,-32.5,0,0111147
4403528,2021-10-26T13:00:00Z,45.2607,-58.6175,12,-32.6,0,0111147
4403528,2021-10-26T14:00:00Z,45.2688,-58.6259,12,-32.6,0,0111147
4403528,2021-10-26T15:00:00Z,45.2785,-58.6282,12,-32.5,0,0111147
4403528,2021-10-26T16:00:00Z,45.2883,-58.6248,12.1,-32.6,0,0111147
4403528,2021-10-26T17:00:00Z,45.2955,-58.6161,12.1,-32.5,0,0111147
4403528,2021-10-26T18:00:00Z,45.3004,-58.6044,12,-32.6,0,0111147
4403528,2021-10-26T19:00:00Z,45.3011,-58.5879,12,-32.6,0,0111147
4403528,2021-10-26T20:00:00Z,45.2977,-58.5716,12,-32.6,0,0111147
4403528,2021-10-26T21:00:00Z,45.2917,-58.5586,12,-32.5,0,0111147
4403528,2021-10-26T22:00:00Z,45.2826,-58.5493,12,-32.5,0,0111147
4403528,2021-10-26T23:00:00Z,45.2826,-58.5493,12,-32.6,0,0111147
4403528,2021-10-27T01:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T02:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T03:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T04:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T05:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T06:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T07:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
4403528,2021-10-27T08:00:00Z,45.2826,-58.5493,12.1,-32.5,0,0111147
